Recording Sequence Nr,Recording Name,Experiment Date,Experiment Name,Condition Nr,Replicate Nr,Probe,Probe Type,Cell Type,Adjuvant,Concentration,Threshold,Process
1,240116-Exp-1-A1-2,240116,240116,1,2,6 Mono,Simple,BMDC,No,10,5,Yes
2,240116-Exp-1-A1-3,240116,240116,1,3,6 Mono,Simple,BMDC,No,10,10,Yes
3,240116-Exp-1-A1-5,240116,240116,1,5,6 Mono,Simple,BMDC,No,10,10,Yes
4,240116-Exp-2-A2-2,240116,240116,2,2,1 Tri,Simple,BMDC,No,10,10,Yes
5,240116-Exp-3-A3-2,240116,240116,3,2,6 Tri,Simple,BMDC,No,10,10,Yes
6,240116-Exp-7-A1-2,240116,240116,7,2,6 Mono,Simple,BMDC,MPLA,10,20,Yes
7,240116-Exp-7-A1-4,240116,240116,7,4,6 Mono,Simple,BMDC,MPLA,10,10,Yes
8,240116-Exp-8-A2-2,240116,240116,8,2,1 Tri,Simple,BMDC,MPLA,10,10,Yes
9,240116-Exp-10-B1-1,240116,240116,10,1,6 Mono,Simple,iCD103,MPLA,10,20,Yes
10,240116-Exp-10-B1-2,240116,240116,10,2,6 Mono,Simple,iCD103,MPLA,10,10,Yes
11,240116-Exp-10-B1-3,240116,240116,10,3,6 Mono,Simple,iCD103,MPLA,10,10,Yes
12,240116-Exp-11-B2-2,240116,240116,11,2,1 Tri,Simple,iCD103,MPLA,10,10,Yes
13,240116-Exp-12-B3-2,240116,240116,12,2,6 Tri,Simple,iCD103,MPLA,10,20,Yes
14,240116-Exp-13-A4-2,240116,240116,13,2,6 Tri,Simple,BMDC,LPS,10,20,Yes
